"","w_I","w_O","b_IO","b_OI","b_O","t"
"Gustavo Enrique González López ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gustavo Gabaldón ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Gustavo Reyes Rangel Briceño ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Gustik Trading INC. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Haifa El Aissami ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Haiman El Troudi Douwara ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hannover Guerrero ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hardwell Computer Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hawkers ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Héctor Joseph Dager Gaspard ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Héctor Navarro ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Heinrich Chapellín Biundo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hélder José Bataglia Dos Santos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Helmerich & Paandne de Venezuela, C.A. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Helmerich & Payne, Inc.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Helsinge Holdings, Llc ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Helsinge Ltd. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Helsinge, Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Henrique Capriles Radonski ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Henrique Granadeiro ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Henry de Jesús Rangel Silva ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Herbert Josué García Plaza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hermágoras González Polanco ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hermann Eduardo Escarrá Malave ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hernán Luis Gonzalo Campana ",-0.3,-0.69,0.4,-0.44,0,-0.54
"Hernes Melquiades Flores ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hesace Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hezbollah ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hidalgo Rafael Socorro Urdaneta  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"High Advisory And Consulting S.A. ",3.48,-0.29,2.08,0.4,0,1.13
"High and Low Profile S.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"High Presidential Commission for Scientific, Technologic and Economic  Independence ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"High Rise Proyects, S.A. ",3.48,-0.69,-0.44,-0.44,0,-0.26
"Highland Assets Corp.  ",9.15,2.89,10.48,6.28,0,8.89
"Hildemaro José Rodríguez Múcura ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hipólito Antonio Abreu Páez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hipólito Luis Izquierdo García ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Holdingnet Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Holdings 17th, LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Honsab S.R.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Horacio Ismael Beresñak ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Hornberg Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Hotel Punta Cana Del Lago, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hugo Armando Carvajal Barrios ",9.15,76.5,30.65,32.33,0,75.48
"Hugo Cabezas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hugo Rafael Chávez Frías ",41.26,10.45,16.36,29.81,0,28.59
"Hugo Ramalho Gois ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Humberto José Villamizar Sepúlveda ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Husam El Aissami ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Hydroelectric Executive Comission for Lempa River  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"I.S.B. Sociedad CS, S.A. ",-0.3,0.1,-0.44,2.08,0,0.57
"Icaza, González-Ruíz & Alemán ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"IFC World Bank  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ignacio Sánchez Combán ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Importadora Asiria CA ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Inarci S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Indhriana María Parada Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Indigo Energy International Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Indira Alfonzo Izaguirre ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Industria Canaima, C.A, ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Industria Venezuela Endógena de la Piedra, El Montante S.A  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Industries And Trade Energetic, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inês Maria Carrusca Pontes Do Rosário ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inés Mercedes Cufre ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Infante & Prez Almillano ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ingeniería Estrella ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ingeniería Gestión de Proyectos de Energía, C.A.  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Ingrid Consuelo Sánchez González ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Ingrid Maria Sayegh Sakka ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Inmobiliaria Nacional, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Innovation Research Engineering And Development ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inocencio Antonio Figueroa Arizaleta ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Institute for the Defense of People in Access to Goods and Services  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Interamerican Development Bank  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"International Business Suppliers, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"International Criminal Court ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"International Goods and Properties LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inverdt ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Invergill Investments, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones Cemt, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones de Capital Inversoja ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones Difusión Latina Mágica C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones Flolat  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Inversiones Litus Mare, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones Multiples 8, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones R & V S.A.S. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones Rodime S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Inversiones Valiosas, SAG  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Inversora Conivenca, CA Corp ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Invesco Capital Fund, Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Investigative Commission about the facts and events related to the decease of José Antonio Anzoátegui ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Iraima Josefina Mayorca De Ledezma ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Iriamni Malpica Flores ",5.28,-0.3,-0.44,-0.44,0,3.35
"Isabel Rangel Baron ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Isaías Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"ISB Sociedad de Corretaje y Reaseguros C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Isidro Ubaldo Rondón Torres ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ismael Oliver Romero ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Itinerant Court in Control Functions of the Metropolitan Area  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Iván Alexis Guedez ",-0.3,-0.69,1.24,-0.44,0,-0.26
"Iván Hernández Dala ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Iver DT Asesores de Negocios, C.A.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ivoryton Enterprises S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Izote Energy Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"J-3 Financiamientos Plus, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"J & J Construction & Co ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jacadi de Colombia S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jaime Alberto Marín Zamora ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jaime Youssef ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Janan Youssef ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Javier Alvarado Pardi ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Javier Andrés Alvarado Ochoa ",5.37,-0.69,4.6,-0.44,0,1.68
"Jbd Properties,Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"JBS S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"JDL Servicios and Proyectos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jean-Max Belleriv ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jean Carlos Sánchez Rojas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Jeffrey Walter Heselwood ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Jehu Holding Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Jesse Alonso Chacón Escamillo ",-0.69,-0.3,-0.44,5.44,0,1.13
"Jesús Abreu Anselmi ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Jesús Alejandro Ramírez Sanguinetti ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jesús Alejandro Veroes D Lima ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jesús Alfredo Itriago ",-0.3,-0.29,-0.44,-0.44,0,-0.54
"Jesús Andrés Arteaga Simancas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jesús María Mantilla Oliveros ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jesús Rafael Suárez Chourio ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jesús Ramón Veroes ",-0.3,5.67,-0.44,2.92,0,4.73
"Jesús Suárez Chourio ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jetcar V, Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jhannett Madriz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jisco Foundation  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Joan Pau Miquel Prats ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"João Alexandre Silva ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"João Pedro Soares Antunes Perna ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Joaquim Barroca ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Joaquín De Grazia ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Joaquin Osorio Núñez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Joe Summers ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Joel Espinoza  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Johan Hernández Lárez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Johanna De Jesús Morey Guerra ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"John Arias ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"John Ryan ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Jonathan Luciano Del Valle Mata Figueroa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Alberto Arreaza Montserrat  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Arias Lazcano  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Elieser Márquez Monsalve  ",4.09,-0.3,-0.44,-0.44,0,2.51
"Jorge Giordani ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Henrique Lander Siblisz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Jesús Rodríguez Gómez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Luis García Carneiro ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Saltos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Serret Sugrañez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Jorge Toyama Uyehara ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorge Zavala Egas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jorgenrique Nazaret Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Adelino Ornelas Ferreira ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Alejandro Hurtado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Ángel González Dellán ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Antonio Abreu ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José David Cabello Rondón ",-0.29,-0.3,2.08,-0.44,0,0.29
"José Diogo Da Rocha Vieira Gaspar Ferreira ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Enrique Luongo Rotundo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Esteban Chacín Bello ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Francisco Rivas Herrera ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Gregorio Vielma Mora ",-0.69,1.59,-0.44,0.4,0,-0.26
"José Larocca ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Luis Bernardo Hurtado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jose Luis Berroteran Núñez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Luis Merino ",-0.3,-0.69,-0.44,0.4,0,-0.54
"José Luis Parada ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Luis Ramos Castillo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Luís Ribeiro Dos Santos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Luis Santoro Castellano ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Manuel Aguilera Rioboo ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Manuel González Testino ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José María Olazagasti ",-0.69,-0.3,-0.44,1.24,0,-0.26
"José Miguel Domínguez Ramírez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Miguel Montoanda Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Mujica ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Omar Paredes  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Jose Orlando Camacho ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Paulo Bernardo Pinto De Sousa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Pestana ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Ramón Arias Lanz ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Ramón Sánchez Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Roberto Rincón Bravo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Sócrates Carvalho Pinto de Sousa ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"José Vicente Amparan Cróquer ",-0.3,4.88,-0.44,-0.44,0,3.07
"José Vicente Rangel Ávalos ",0.1,-0.3,-0.44,-0.44,0,-0.26
"José Vicente Rangel Vale ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"José Wilfredo Molina Castrillón ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Joselit Ramírez Camacho ",-0.3,-0.69,-0.44,0.4,0,-0.54
"Joseph Demeneses ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Josland Investments S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Josmel José Velásquez Figueroa ",2.1,-0.3,0.4,5.44,0,3.35
"Jovenel Moise ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan Carlos Castillo Rincón ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan Carlos Chourio ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan Carlos Guillén Zerpa ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan Carlos Horna Napolitano ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan Carlos Loyo Hernández ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Juan Carlos Márquez Cabrera ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan Carlos Toro Rodríguez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan Carlos Torres Inclán ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan García Tousaintt ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Juan Gerardo Antonio Guaidó Márquez?? ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Juan Ignacio Simo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan José Hernández Comerma ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Juan José Levy ",26.15,-0.69,13.84,-0.44,0,7.79
"Juan José Mendoza Jover ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Juan Moisés Lares González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Juan Valdivia Almanza ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Judicial Technical Police  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Julia Elba Van Den Brule ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Julián Francisco Rubio ",-0.3,0.9,2.92,-0.44,0,1.4
"Julián Isaías Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Julius Baer ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"July César Barlocco ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"July César Izquierdo Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"July César Ruiz Maestre ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"July De Vido ",-0.3,-0.69,2.92,-0.44,0,0.29
"Justo José Noguera Pietri ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kapital One Casa de Valores S.A. Kaovalsa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Karina del Carmen Núñez Arias ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Karol V. Gutiérrez Nieve ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Katarina Gumucio Stambuk ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Katherine Nayartih Haringhton Padrón ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Katia Saab Morán ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kenvest, Corp  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Khaled Khalil Majzoub ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kimarcus Group Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kimbra International Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kingstone Team Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kingsway Europe SL ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kingsway Lda ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kk Inversiones, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Koncreto S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"KPMG Servicios Inmobiliarios ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Kreutzer & Asociados ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"L & L Inversiones Pty, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"La Gran Familia International, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"La Gran Familia Zona Libre, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"La Razón Diary ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"La Sabina Global Investments Limited ",-0.69,-0.3,-0.44,0.4,0,-0.54
"La Sabina Rusticae SL ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"La Vitalicia insurance Company ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Laboratorio Esme Saic ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Laboratorios Esme Saic ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lacayo Fiallos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lácteos Los Andes C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lairholt Finance Limited. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Langton Trading Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Larry Devoe Márquez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Las Camelias ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Latino Bank  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Laurent Lamothe ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Lena Engenharia E Construção Sgps. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Lena Engenharia E Construções, Sa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lennys Lisoleth Rangel Soto ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Lenterdit S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Leonardo Baquero ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Leonardo González Dellán ",-0.3,4.08,-0.44,4.6,0,4.18
"Leonardo Santilli ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Leopoldo Alejandro Betancourt López ",-0.3,4.48,-0.44,4.6,0,4.46
"Leopoldo José Briceño Punceles ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Libertador Municipality ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Liechtensteinische Landesbank  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Lilia Cristina López de Guzman de Frutos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lilia Margarita Cuartin Sánchez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Limited Company of Administration and Electric Development  ",3.48,-0.69,1.24,-0.44,0,0.29
"Lindsay Services International Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lizeta Hernández ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Local Committees of Production and Procurement   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lomond Overseas S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lourdes Benicia Suárez Anderson ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luciano Marín Arango ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Abraham Bastidas Ramírez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Luis Alberto Chacín Haddad ",-0.3,2.49,-0.44,-0.44,0,1.4
"Luis Alberto Saab Morán ",-0.69,-0.3,-0.44,2.92,0,0.29
"Luis Alfredo Campos Cabello ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Luis Alfredo Motta Domínguez ",3.48,21.19,11.32,2.92,0,19.99
"Luis Álvarez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Luís Barrios Melean ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Luis Carlos de León Pérez ",-0.3,0.5,1.24,1.24,0,1.13
"Luis Damiani Bustillos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis David Chacín Imbrondone  ",-0.69,-0.3,0.4,-0.44,0,-0.54
"Luís Díaz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Eduardo AMaya ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Eduardo Francis Villegas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Eduardo Ortega Morales ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Eduardo Sánchez Andánez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Luis Enrique Delgado Contreras ",2.49,-0.3,-0.44,-0.44,0,1.4
"Luis Esteban de Guzmán de Ollague  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Fernando Soteldo ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"Luis Fernando Vuteff ",-0.3,-0.29,-0.44,-0.44,0,-0.54
"Luis Herrera Valerio ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Luis Javier Díaz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Liendo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Luís Manuel Ferreira Da Silva Marques ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Manuel Peña Melo ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Luis Mariano Rodríguez Cabello ",14.82,1.3,13.84,2.92,0,8.62
"Luis Ramón Fernández Delgado ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luis Ramón Francis Moreno ",7.27,-0.3,2.92,-0.44,0,5.84
"Luis Ramón Francis Villegas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lukoil Pan Americas Llc ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Lukoil Petroleum Ltd ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Lurvis Alexánder Solórzano Guevara ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lutmíll International SA ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lux 2603, LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Lux ST502, LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luxe Investments, Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Luxpan Dfs S.A ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"M & V Trading International Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"M&M Loor Investments Llc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"M.F. Corporate Services  Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Madero Del Plata S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Madison Capital Fund LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Magus Holding Ii LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Magus Holding LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Magus Holdings USA, Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Maikel José Moreno Pérez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Maja Madeline El Aissami ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Majority of Caracas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Malaquias Gil Rodríguez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
