"","w_I","w_O","b_IO","b_OI","b_O","t"
"Carlo Investments Associates, INC. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Alberto Calderón Chirinos ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Alberto Levy ",1.59,-0.69,0.4,-0.44,0,-0.26
"Carlos Alberto Osorio Zambrano ",7.27,-0.3,0.4,-0.44,0,5.01
"Carlos Alberto Rotondaro Cova ",-0.69,5.35,-0.44,12.16,0,4.18
"Carlos Alfredo Pérez Ampueda ",8.87,-0.3,2.08,-0.44,0,6.68
"Carlos Eduardo Borges Polar ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Eduardo Urbano Fermín ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Enrique Luengo Herrera ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Carlos Enrique Quintero Cuevas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Enrique Urbano Fermín ",-0.3,4.88,-0.44,-0.44,0,3.07
"Carlos Erik Malpica Flores ",147.49,1.59,13,33.17,0,118.21
"Carlos Esteban Urbano Fermín ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Evelio Malpica Torrealba ",2.49,-0.3,-0.44,-0.44,0,1.4
"Carlos Gill Ramírez ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos José Mata Figueroa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Kauffmann ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Carlos Leal Tellería ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos León ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Luis Aguilera Borjas ",-0.3,15.22,-0.44,14.68,0,15.28
"Carlos Mario Piano ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Ocariz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Pésantez  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Prada ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Carlos Rolando Lizcano Manrique ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Santos Silva ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carlos Serret Sugrañez ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Carmelo Antonio Urdaneta Aquí ",7.26,6.07,11.32,2.92,0,10
"Carmen Cecilia Molina Díaz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carmen J. Pinto De Leiva ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carmen Teresa Meléndez Rivas ",2.89,-0.3,-0.44,-0.44,0,1.68
"Carmen Zuleta de Merchán ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carol Padilla ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Carolina Cróquer de González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Casas & López Fábrega ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Castillo Max, Oil & Gas ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Castillomax, Oil & Gas S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ceciree Carolina Casanova Rangel ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Center of Scientific Investigations Alba Oil  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Central Berfort S.A. ",9.15,-0.69,-0.44,2.08,0,1.4
"Central Planning Commission ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Centro Simón Bolívar C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Centurion Air Cargo, Inc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"César David Godoy ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"César David Rincón Godoy ",-0.3,0.5,1.24,-0.44,0,0.57
"César Ramón Vega González ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ceuf Corporation Limited S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Chai Wan Digital Limited ",-0.3,-0.29,1.24,-0.44,0,0.02
"Charles-Henry de Beaumont ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Charles Henry Du Boscq De Beaumont ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Charles Quintard III Beech ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Charter Services, Llc ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"CHCL Resident Agents Services ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Cheddleton Investments Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"China Camco Engineering Co Ltd ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"China Royal Industrial Limited ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Christian Javier Maldonado Barillas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Christian Tandrone Zerpa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Christian Tyrone Zerpa ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Cici Venezuela C ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Cilia Adela Flores de Maduro ",1.3,3.47,0.4,7.96,0,4.18
"Citgo Petroleum Corporation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Claudia Patricia Díaz Guillén ",24.26,25.17,35.69,11.32,0,36.64
"Claudio A. Di Genova ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Claudio Uberti ",3.48,-0.69,1.24,-0.44,0,0.29
"Clio Management Corp. ",-0.69,1.59,-0.44,-0.44,0,-0.54
"Cliver Alcalá Cordones ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Clíver Antonio Alcalá Cordones ",-0.3,-0.29,-0.44,-0.44,0,-0.54
"Cofac ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"College I ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Colonial Group, Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Colonial Oil Industries, Inc. ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Columbus Hills ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus One Properties ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus One Properties Commercial Real Estate 1 ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus One Properties Commercial Real Estate 2 S.L.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus One Properties Healthcare Facilities 1 S.L.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus One Properties Hotels S.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus One Properties Management S.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus One Properties S.L. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Columbus Properties One ",-0.3,-0.69,-0.44,-0.44,0,-0.82
