"unlist.Closeness.","unlist.CN_Betweenness.","unlist.CN_CBrokerage.","unlist.CN_Eigen.","unlist.CN_Info.","unlist.cutpoints_strong.","unlist.cutpoints_weak.","unlist.InDegree.","unlist.OutDegree.","unlist.TotalDegree."
22.4666666666667,0,0,0,0.000663917997473459,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473452,FALSE,FALSE,0.45,0,0.18
4,0,0,0,0.000663917997473446,FALSE,FALSE,0,2,0.8
14.6666666666667,0,1,0,0.000663917997473466,FALSE,FALSE,0,0.5,0.2
12.8833333333333,34,0,0,0.000663917997473451,FALSE,TRUE,0.15,1.5,0.66
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
3,0,0,0,0.000663917997473449,FALSE,FALSE,0,1.5,0.6
0,0,0,0,0.00066391799747348,FALSE,FALSE,0.15,0,0.06
10.8833333333333,0,0,0,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
76.543253968254,0,0,0.0356812838327855,0.000663917997473475,FALSE,FALSE,0,0.5,0.2
1,0,0,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
22.6380952380952,0,0,5.54539343917486e-11,0.000663917997473469,FALSE,FALSE,0,0.5,0.2
1,0,0,0,0.000663917997473473,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473468,FALSE,FALSE,0.15,0,0.06
17.5166666666667,0,0,0,0.000663917997473449,FALSE,FALSE,0,3.5,1.4
0,0,0,0,0.000663917997473515,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473468,FALSE,TRUE,0.3,0,0.12
10.6880952380952,0,0,4.33609513693926e-29,0.000663917997473476,FALSE,FALSE,0,1,0.4
0,0,0,0,0.00066391799747348,FALSE,FALSE,0.15,0,0.06
1,0,0,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
18.1666666666667,108.3,0,0,0.000663917997473447,FALSE,TRUE,0.15,2.5,1.06
0,0,0,0,0.000663917997473486,FALSE,FALSE,0.15,0,0.06
1,0,1,0,0.000663917997473478,FALSE,FALSE,0,0.5,0.2
1,0,1,0,0.000663917997473478,FALSE,FALSE,0,0.5,0.2
1,0,0,0,0.000663917997473533,FALSE,FALSE,0,0.5,0.2
2,0,0,0,-7.85279518690762e-06,FALSE,TRUE,0,1,0.4
0,0,0,0,0.000663917997473481,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.00023692889746234,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473475,FALSE,FALSE,0.15,0,0.06
